epoch,model,category,n_runs,aa_mean,aa_std,bwt_mean,bwt_std,fwt_mean,fwt_std,forgetting_mean,forgetting_std
1,sgd,Lower Bound,5,19.4997,0.0733,-99.1707,0.0608,0.0,0.0,99.1707,0.0608
1,joint,Upper Bound,5,93.9057,0.1424,68.7442,8.0962,0.0,0.0,0.0,0.0
1,ewc-on,Regularization,5,19.5139,0.0594,-99.1731,0.0705,0.0,0.0,99.1731,0.0705
1,si,Regularization,5,22.1474,4.1884,-92.2063,5.3338,0.0,0.0,92.2063,5.3338
1,er,Replay,5,81.3764,0.6982,-20.7208,0.8147,0.0,0.0,20.7208,0.8147
1,derpp,Replay,5,82.7861,3.7623,-19.339,4.7781,0.0,0.0,19.339,4.7781
1,lwf,Knowledge Distillation,5,19.3444,0.4686,-99.2319,0.1455,6.9589,1.7107,99.2319,0.1455
1,agem,Optimization,5,23.7681,1.1666,-93.8415,1.4075,0.0,0.0,93.8415,1.4075
5,sgd,Lower Bound,5,19.8043,0.1032,-99.6587,0.0478,0.0,0.0,99.6587,0.0478
5,joint,Upper Bound,5,97.1105,0.1249,71.1568,8.2997,0.0,0.0,0.0,0.0
5,ewc-on,Regularization,5,19.7902,0.1005,-99.6761,0.0513,0.0,0.0,99.6761,0.0513
5,si,Regularization,5,14.3641,3.7382,-99.2317,0.1041,0.0,0.0,99.2317,0.1041
5,er,Replay,5,77.9863,2.1857,-26.4769,2.7674,0.0,0.0,26.4769,2.7674
5,derpp,Replay,5,83.3021,0.9514,-19.9411,1.1861,0.0,0.0,19.9411,1.1861
5,lwf,Knowledge Distillation,5,19.9071,0.0913,-99.6851,0.0872,8.8737,1.5827,99.6851,0.0872
5,agem,Optimization,5,31.6243,5.0099,-84.9678,6.1855,0.0,0.0,84.9678,6.1855
